0,Dwarf remains
1,Toolkit
10,Cannon barrels
10000,Hunter potion(3)
10002,Hunter potion(2)
10004,Hunter potion(1)
10006,Bird snare
10008,Box trap
10010,Butterfly net
10012,Butterfly jar
10014,Black warlock
10016,Snowy knight
10018,Sapphire glacialis
10020,Ruby harvest
10023,Falconer's glove
10024,Falconer's glove
10025,Magic box
10027,Imp-in-a-box(2)
1980,Empty cup
19800,Clue scroll (elite)
19801,Clue scroll (elite)
19802,Clue scroll (elite)
19803,Clue scroll (elite)
19804,Clue scroll (elite)
19805,Clue scroll (elite)
19806,Clue scroll (elite)
19807,Clue scroll (elite)
19808,Clue scroll (elite)
19809,Clue scroll (elite)
19810,Clue scroll (elite)
19811,Clue scroll (elite)
19812,Key (elite)
19813,Clue scroll (elite)
19814,Clue scroll (easy)
19815,Casket (easy)
3,Nulodion's notes
30,Bucket of wax
300,Rat's tail
3000,Snapdragon
3002,Toadflax potion (unf)
3004,Snapdragon potion (unf)
3006,Firework
3008,Energy potion(4)
301,Lobster pot
3010,Energy potion(3)
3012,Energy potion(2)
4101,Mystic robe top (dark)
4103,Mystic robe bottom (dark)
4105,Mystic gloves (dark)
4107,Mystic boots (dark)
4109,Mystic hat (light)
411,Oyster pearl
4111,Mystic robe top (light)
4113,Mystic robe bottom (light)
4115,Mystic gloves (light)
4117,Mystic boots (light)
520,Rune axe head
522,Enchanted beef
523,Enchanted rat
524,Enchanted bear
525,Enchanted chicken
526,Bones
528,Burnt bones
5280,Cactus seed
5281,Belladonna seed
5282,Mushroom spore
680,Nuggets
6800,Giant champion scroll
6801,Goblin champion scroll
6802,Hobgoblin champion scroll
6803,Imp champion scroll
6804,Jogre champion scroll
6805,Lesser demon champion scroll
6806,Skeleton champion scroll
6807,Zombie champion scroll
6808,Leon's champion scroll
6809,Granite legs
10028,Imp-in-a-box(1)
10061,Desert camo top
10090,Yellow feather
10149,Swamp lizard
1019,Black cape
10207,Casket (easy)
10225,Casket (easy)
10243,Casket (hard)
10261,Casket (medium)
10310,Black helm (h3)
1037,Bunny ears
1040,Yellow partyhat
10432,Green elegant blouse
10466,Guthix robe legs
10496,Polished buttons
8400,Combat room
8401,Hall
8402,Hall
8403,Hall
8404,Hall
8405,Chapel
8406,Workshop
8407,Study
8408,Portal chamber
8409,Throne room
841,Shortbow
8410,Oubliette
8411,Dungeon corridor
8412,Dungeon cross
8413,Dungeon stairs
8414,Treasure room
8415,Garden
8416,Formal garden
8417,Bagged dead tree
11200,Dwarven helmet
11202,Shrinking recipe
11203,To-do list
11204,Shrink-me-quick
11205,Shrunk ogleroot
1121,Mithril platebody
11210,Golden goblin
11211,Magic beans
11212,Dragon arrow
11217,Dragon fire arrows
11222,Dragon fire arrows
11227,Dragon arrow(p)
11228,Dragon arrow(p+)
11229,Dragon arrow(p++)
1123,Adamant platebody
11230,Dragon dart
11231,Dragon dart(p)
11232,Dragon dart tip
1251,Bronze spear(p)
12510,Armadyl chaps
12512,Armadyl coif
12514,Explorer backpack
12516,Pith helmet
12518,Green dragon mask
12520,Blue dragon mask
12522,Red dragon mask
12524,Black dragon mask
12526,Fury ornament kit
12528,Dark infinity colour kit
1253,Iron spear(p)
12530,Light infinity colour kit
12532,Dragon sq shield ornament kit
12534,Dragon chainbody ornament kit
12536,Dragon legs/skirt ornament kit
12538,Dragon full helm ornament kit
15,Holy table napkin
1500,Iban's shadow
1501,Dwarf brew
1502,Iban's ashes
1503,Warrant
1504,Hangover cure
1505,A magic scroll
1506,Gas mask
1507,A small key
1508,A scruffy note
1605,Emerald
1607,Sapphire
1609,Opal
161,Super strength(1)
1611,Jade
1613,Red topaz
1615,Dragonstone
1617,Uncut diamond
1619,Uncut ruby
1791,Unfired bowl
1793,Woad leaf
1794,Bronze wire
1796,Silver necklace
1797,Silver necklace
1798,Silver cup
1799,Silver cup
18,Magic gold feather
1800,Silver bottle
1801,Silver bottle
1802,Silver book
1803,Silver book
1804,Silver needle
1805,Silver needle
1806,Silver pot
1807,Silver pot
1808,Criminal's thread
