'perfect' gold bar,http://2007.runescape.wikia.com/wiki/%27perfect%27_gold_bar
'perfect' gold ore,http://2007.runescape.wikia.com/wiki/%27perfect%27_gold_ore
'perfect' necklace,http://2007.runescape.wikia.com/wiki/%27perfect%27_necklace
'perfect' ring,http://2007.runescape.wikia.com/wiki/%27perfect%27_ring
1/3rds full jug,http://2007.runescape.wikia.com/wiki/1/3rds_full_jug
1/5ths full bucket,http://2007.runescape.wikia.com/wiki/1/5ths_full_bucket
10th squad sigil,http://2007.runescape.wikia.com/wiki/10th_squad_sigil
18lb shot,http://2007.runescape.wikia.com/wiki/18lb_shot
2/3rds full jug,http://2007.runescape.wikia.com/wiki/2/3rds_full_jug
2/5ths full bucket,http://2007.runescape.wikia.com/wiki/2/5ths_full_bucket
22lb shot,http://2007.runescape.wikia.com/wiki/22lb_shot
3/5ths full bucket,http://2007.runescape.wikia.com/wiki/3/5ths_full_bucket
3rd age amulet,http://2007.runescape.wikia.com/wiki/3rd_age_amulet
3rd age axe,http://2007.runescape.wikia.com/wiki/3rd_age_axe
3rd age bow,http://2007.runescape.wikia.com/wiki/3rd_age_bow
3rd age cloak,http://2007.runescape.wikia.com/wiki/3rd_age_cloak
3rd age full helmet,http://2007.runescape.wikia.com/wiki/3rd_age_full_helmet
3rd age kiteshield,http://2007.runescape.wikia.com/wiki/3rd_age_kiteshield
3rd age longsword,http://2007.runescape.wikia.com/wiki/3rd_age_longsword
3rd age mage hat,http://2007.runescape.wikia.com/wiki/3rd_age_mage_hat
3rd age pickaxe,http://2007.runescape.wikia.com/wiki/3rd_age_pickaxe
3rd age platebody,http://2007.runescape.wikia.com/wiki/3rd_age_platebody
3rd age platelegs,http://2007.runescape.wikia.com/wiki/3rd_age_platelegs
3rd age range coif,http://2007.runescape.wikia.com/wiki/3rd_age_range_coif
3rd age range legs,http://2007.runescape.wikia.com/wiki/3rd_age_range_legs
3rd age range top,http://2007.runescape.wikia.com/wiki/3rd_age_range_top
3rd age robe,http://2007.runescape.wikia.com/wiki/3rd_age_robe
3rd age robe top,http://2007.runescape.wikia.com/wiki/3rd_age_robe_top
3rd age vambraces,http://2007.runescape.wikia.com/wiki/3rd_age_vambraces
3rd age wand,http://2007.runescape.wikia.com/wiki/3rd_age_wand
4/5ths full bucket,http://2007.runescape.wikia.com/wiki/4/5ths_full_bucket
4th birthday hat,http://2007.runescape.wikia.com/wiki/4th_birthday_hat
A chair,http://2007.runescape.wikia.com/wiki/A_chair
